MODEL,DATA_TYP,MODEL_INDEX,TEST_SPLIT,LAYERS,UNITS,RETURN_SEQUENCE,FORECAST_HORIZON,BATCH_SIZE,EPOCHS,STEPS,OPTIMIZER,LEARNING_RATE,NORMALIZATION,TRAINING_TIME,TEST_TIME,MAE,MSE,RMSE
rnn,Wind,14,0.2,4,64, True,25,32,5,3788,Adam,0.001,minmax,262.3427439,2.875067472,28.72283623,1698.85359,41.21715164
rnn,Wind,15,0.2,4,64, False,25,32,5,3788,Adam,0.001,minmax,264.2528281,3.075048447,28.28757172,1646.468617,40.57670042
rnn,Wind,16,0.2,4,128, True,25,32,5,3788,Adam,0.001,minmax,260.4762743,2.923024654,29.80046408,1805.591153,42.49224815
rnn,Wind,17,0.2,4,128, False,25,32,5,3788,Adam,0.001,minmax,252.1636944,2.823745012,31.1776537,1923.142218,43.85364543
lstm,Wind,0,0.2,1,32, True,25,32,5,3788,Adam,0.001,minmax,86.81337142,1.734759092,28.86062499,1768.431255,42.05271995
lstm,Wind,1,0.2,1,32, False,25,32,5,3788,Adam,0.001,minmax,83.99309635,1.697112083,27.89338215,1584.238061,39.80248812
lstm,Wind,2,0.2,1,64, True,25,32,5,3788,Adam,0.001,minmax,88.43662405,1.556652308,32.42013185,2184.000558,46.73329175
lstm,Wind,3,0.2,1,64, False,25,32,5,3788,Adam,0.001,minmax,88.77889061,1.517935038,28.41828654,1686.111096,41.06228313
lstm,Wind,4,0.2,1,128, True,25,32,5,3788,Adam,0.001,minmax,90.71452975,1.570991278,37.69283615,2704.141093,52.00135665
lstm,Wind,5,0.2,1,128, False,25,32,5,3788,Adam,0.001,minmax,87.51259708,1.530800104,27.81402317,1657.712427,40.71501477
lstm,Wind,6,0.2,2,32, True,25,32,5,3788,Adam,0.001,minmax,135.9465771,2.36671257,28.13006107,1639.19257,40.48694321
lstm,Wind,7,0.2,2,32, False,25,32,5,3788,Adam,0.001,minmax,144.3838274,2.290901423,27.59610379,1623.926137,40.2979669
lstm,Wind,8,0.2,2,64, True,25,32,5,3788,Adam,0.001,minmax,130.1046686,2.471414328,35.44598282,2502.856327,50.02855511
lstm,Wind,9,0.2,2,64, False,25,32,5,3788,Adam,0.001,minmax,141.4456873,2.334817886,27.03864833,1535.853869,39.18997154
lstm,Wind,10,0.2,2,128, True,25,32,5,3788,Adam,0.001,minmax,140.5886238,2.288326263,27.8771914,1572.80222,39.65857057
lstm,Wind,11,0.2,2,128, False,25,32,5,3788,Adam,0.001,minmax,140.5049932,2.434860706,43.63774518,3770.334252,61.40304758
